,id,size_bytes,currency,price,rating_count_tot,rating_count_ver,user_rating,user_rating_ver,ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic
743,409890132,60013568,USD,0.99,4094,15,4.5,3.5,2.1.46,4+,Games,24,5,1,1
744,410031728,82395136,USD,2.99,3152,41,4.5,4.5,5.71,4+,Entertainment,37,5,34,1
745,410089731,57810944,USD,2.99,2950,1671,4.5,4.5,4.4.3,4+,Health & Fitness,37,5,12,1
746,410148139,14232576,USD,3.99,3245,53,4,4,9.4.5,4+,Weather,37,0,1,1
747,410229362,16949248,USD,0.99,9341,53,4.5,3.5,3.7.0,12+,Games,43,5,1,1
748,410315894,21079040,USD,0,981,4,2.5,2,1.11,4+,Education,24,5,8,1
749,410319945,27227934,USD,0.99,735,288,4,4.5,1.07,4+,Games,43,4,1,1
750,410351918,124150784,USD,2.99,15116,2692,4.5,5,7.4,4+,Health & Fitness,37,5,31,1
751,410395246,233533440,USD,0,39638,1213,4.5,4.5,16,4+,Productivity,37,5,33,1
752,410896080,20168704,USD,0,7256,491,3,2.5,4.20.9,12+,Entertainment,37,4,19,1
753,411206394,10058752,USD,1.99,12590,126,4.5,3.5,2.7,4+,Utilities,38,4,14,1
754,411430426,198701056,USD,2.99,13258,62,4.5,4,1.71,12+,Games,37,5,4,1
755,411608323,6.99,0,0,0,0,3.4.1,4+,Reference,37,5,1,1,,
756,411711646,13778944,USD,2.99,331,1,4.5,1,4.0.8,4+,Reference,37,4,3,1
757,411766326,120382464,USD,0,1777,9,3,4,3.15.0,4+,Education,37,5,4,1
758,411843682,29369344,USD,0.99,554,1,4.5,4,2.6,4+,Photo & Video,37,0,31,1
759,411930498,75874304,USD,0,7535,99,4,4.5,2.16.6,4+,Sports,37,5,3,1
760,412223222,233934848,USD,0,2622,3,3.5,2.5,5.12.1,4+,Sports,37,3,1,1
761,412395632,0,2340,1,4,1,6.1.4,17+,Entertainment,24,5,2,1,,
762,412403556,44099584,USD,0,823,136,4.5,5,5.7.2,12+,Entertainment,37,1,3,1
763,412792865,25606144,USD,1.99,261,1,4,5,1.10.1,4+,Sports,37,0,1,1
765,413246702,8161280,USD,1.99,0,0,0,0,3.0.1,4+,News,38,5,1,1
766,413423472,247508992,USD,0.99,29739,2253,4.5,5,2.3,9+,Games,43,5,1,1
767,413487517,125665280,USD,0,0,0,0,0,4.28.0,4+,Navigation,37,5,1,1
768,413511993,22879232,USD,4.99,1359,26,3,3,3.0.5,4+,Weather,38,5,1,1
769,413515229,210538496,USD,6.99,6001,72,4.5,4.5,4.1.1,4+,Productivity,37,5,16,1
770,413618155,61166592,USD,0,10,0,3,0,4.0.12,4+,Food & Drink,38,0,1,1
771,413936865,87593984,USD,0,4188,602,4.5,4.5,3.5.1,4+,Education,37,5,1,1
772,413993350,0,89,0,4,0,8.4.3,4+,Lifestyle,37,3,3,1,,
773,414002091,5800960,USD,1.99,513,10,4,3.5,1.1.1,4+,Photo & Video,38,5,1,1
774,414113282,10110976,USD,0,1329,47,3,3,5.3.1,17+,Finance,37,4,2,1
775,414245413,242618368,USD,0,361,4,3.5,1.5,6.1.0,17+,Shopping,38,0,2,1
776,414430589,79696896,USD,0,3768,5,4,3,6.6,17+,Entertainment,24,5,1,1
777,414478124,182624256,USD,0,34584,100,4.5,4,6.5.8,12+,Social Networking,38,4,21,1
778,414603431,0,745,7,3.5,5,7.5,4+,Music,37,0,3,1,,
779,414706506,65281024,USD,0,26786,27,3.5,4.5,5.10.0,4+,Reference,37,5,59,1
780,414834813,48323584,USD,3.99,1911,39,4,4.5,6.7.1,9+,News,37,5,1,1
781,414835676,106427392,USD,1.99,1393,33,4.5,4.5,1.09,4+,Games,40,5,16,1
782,415069562,22515712,USD,2.99,430,35,4.5,4.5,1.6,9+,Games,43,0,1,1
783,415138546,18358272,USD,1.99,193,40,4.5,4,2.1,4+,Games,38,5,1,1
786,415468221,7100416,USD,0.99,7,1,4.5,4,1.15.1,4+,Utilities,37,0,2,1
787,415606289,107184128,USD,0,84,0,4.5,0,10.7,4+,Lifestyle,37,5,2,1
788,415842508,54815744,USD,0,116,3,4,5,3.8.5,17+,Lifestyle,24,5,1,1
789,415850124,65495040,USD,2.99,4352,33,4.5,5,3.2,4+,Photo & Video,37,5,8,1
791,416023011,150791168,USD,0,126948,107245,4.5,4.5,5.10.0,4+,Utilities,37,3,2,1
792,416048305,142101504,USD,0,6478,21,5,5,6.7.0,4+,Photo & Video,37,0,5,1
793,416345444,78565376,USD,0,31116,77,4,4.5,3.4.1,4+,Entertainment,24,5,13,1
794,416457422,78774272,USD,0,248,1,3,1,5.3,4+,Utilities,38,0,2,1
796,416981420,425657344,USD,4.99,3326,289,5,5,4.5.3,9+,Health & Fitness,38,5,5,1
797,417200582,160313344,USD,0,100,0,4.5,0,6.1.2,12+,Shopping,38,0,1,1
798,417352269,100336640,USD,0,102,1,4.5,5,6.2,4+,Productivity,37,5,2,1
799,417373312,64342016,USD,0.99,3662,37,4.5,4,9,4+,Entertainment,37,5,8,1
800,417817520,30252032,USD,0.99,219418,328,4.5,4.5,2.2,4+,Games,37,0,6,1
801,417906074,10514432,USD,3.99,2293,399,4.5,4,4.2,4+,Weather,40,0,1,1
802,418075935,85283840,USD,0,16979,183,4.5,4,5.1,12+,Sports,37,0,8,1
803,418987775,101735424,USD,0,110420,370,4.5,4.5,11.9,12+,Music,37,4,14,1
804,419135449,52618240,USD,1.99,4719,61,4,4.5,5.1,4+,Lifestyle,37,5,23,1
805,419261235,79730688,USD,0,157,0,5,0,7.6,17+,Utilities,38,0,3,1
807,419411014,8029184,USD,0.99,1537,159,4.5,4,5,4+,Education,37,5,1,1
808,419724490,31544320,USD,0,29,1,3.5,5,3.6.9,4+,Food & Drink,38,0,2,1
809,419805549,0,2270,4,4.5,5,4.5.6,12+,Utilities,38,4,3,1,,
810,420009108,65921024,USD,0,1724546,3842,4.5,4,1.6.2,9+,Games,40,5,1,1
811,420635506,138319872,USD,0,170843,123,4.5,4,2.6.6,4+,Games,40,0,1,1
812,420636551,226899968,USD,0,70122,251,4.5,4,2.6.6,4+,Games,24,5,1,1
813,420859056,70041600,USD,4.99,1887,75,3,3.5,3.08,4+,Lifestyle,37,4,4,1
814,421167112,301896704,USD,0,293857,249,4.5,4,1.30.0,4+,Games,40,5,8,1
815,421168738,15154176,USD,19.99,193,0,4.5,0,2.18.2,4+,Sports,24,4,1,1
816,421254504,55030784,USD,0,131695,1102,4.5,4,8.3.1,4+,Music,37,5,12,1
817,421547368,209462272,USD,0,47506,30,3.5,4,4.9.705,4+,Entertainment,24,5,1,1
819,421894356,6615040,USD,2.99,2261,689,4.5,4,3.2,4+,News,38,0,1,1
820,421988577,46864078,USD,0.99,26,26,3,3,1.5,4+,Games,26,5,1,1
821,421998342,73111552,USD,0,56399,98,4,4,5.2.2,4+,Entertainment,24,5,13,1
822,422366403,113787904,USD,0,5987,97,2.5,2,4.0.0,12+,Entertainment,37,5,1,1
823,422667065,124720128,USD,0,414803,4536,4.5,4.5,3.3.12,12+,Games,38,4,1,1
824,422689480,236067840,USD,0,135962,677,4,4.5,5.0.170507,4+,Productivity,37,5,56,1
825,422845617,4324352,USD,1.99,0,0,0,0,5.7.0,4+,Photo & Video,37,0,2,1
826,423084029,0,549,2,4.5,5,8.1.0,4+,Lifestyle,37,5,2,1,,
828,423198259,43033600,USD,9.99,10619,893,5,5,2017.01,4+,Games,37,5,3,1
829,423246594,113078272,USD,0,13572,55,3,2.5,7.0.4,4+,Sports,37,5,1,1
830,423443665,60426240,USD,2.99,149,0,3.5,0,7.5,4+,Reference,37,5,1,1
831,423492040,14495744,USD,7.99,249,83,4.5,4,3.5,4+,Productivity,38,5,6,1
832,423514795,86083584,USD,0,152,0,2.5,0,3.0.0.7.1,12+,Finance,38,0,1,1
833,423855879,30275615,USD,2.99,1073,186,4,4,2.2,4+,Games,43,5,6,1
835,424123969,140165120,USD,0.99,9763,1556,4.5,4.5,1.1.5,4+,Games,43,0,1,1
836,424216726,81287168,USD,0,60490,1102,4,4,4.2.5,4+,Lifestyle,37,1,22,1
837,424229589,139853824,USD,1.99,2552,1041,4.5,4.5,1.1.5,4+,Games,26,5,1,1
838,424591347,290695168,USD,14.99,1378,17,4.5,3.5,1.7.5,9+,Games,40,0,8,1
839,424598114,0,38,0,3,0,5.2.5,17+,Shopping,38,0,1,1,,
840,424881832,31635456,USD,0,299,29,4.5,5,3.1.5,12+,News,37,5,2,1
841,424912055,212580352,USD,3.99,5362,68,4.5,4,1.16,12+,Games,37,3,2,1
842,425073498,132968448,USD,5.99,6109,356,4.5,4.5,3.2.1,4+,Entertainment,24,5,13,1
843,425349261,0,4263,6,4.5,1,23.2,17+,News,37,4,2,1,,
845,425996445,84909056,USD,0.99,714,8,4,4,6.3.0,4+,Photo & Video,37,5,7,1
846,426072035,194308096,USD,4.99,3170,4,4,3,1.6.1,4+,Games,37,5,9,1
847,426097375,82982912,USD,0,936,4,4,4,5.8.2,17+,Utilities,24,5,1,1
848,426170776,55071744,USD,0,1341,63,4,4,4,9+,Utilities,24,5,29,1
849,426282304,415420416,USD,4.99,4934,164,4,4,1.1.36,4+,Games,24,5,8,1
850,426382105,51366912,USD,2.99,9649,29,4,3.5,1.2.7,4+,Education,40,5,1,1
851,426414466,31230976,USD,0,11,0,4,0,8.4,12+,Shopping,37,5,8,1
852,426415634,164235264,USD,2.99,2493,13,4,4,3.0.4,4+,Games,24,5,1,1
854,426747278,742145024,USD,4.99,1888,26,3.5,3.5,3.5.4,4+,Games,24,5,1,1
855,427419772,149715968,USD,4.99,923,48,4.5,4,2.1,9+,Games,24,5,12,1
856,427457043,80944128,USD,0,65,1,3.5,1,5.0.0,17+,Shopping,37,5,1,1
857,427555239,0,115,1,2,1,8.0.1,4+,Travel,37,0,2,1,,
858,427916203,125872128,USD,0,10278,112,3.5,4.5,17.21,4+,Travel,37,5,19,1
859,427941017,0,624,4,4,5,6.3.8,17+,Social Networking,37,0,2,1,,
860,428845974,113510400,USD,0,177501,1014,4.5,4.5,3.1.6,4+,Social Networking,37,5,21,1
861,428970841,36686604,USD,0.99,500,479,4,4,1.0.1,9+,Games,47,0,1,1
862,429009175,33714176,USD,0,159735,2556,4,4.5,1.9.9,4+,Sports,37,2,1,1
863,429047995,74778624,USD,0,1061624,1814,4.5,4,6.26,12+,Social Networking,37,5,27,1
864,429610587,66599936,USD,0,98344,877,3.5,4.5,4.6.8,17+,Entertainment,37,2,2,1
866,429775439,41109504,USD,0,26278,9,3,3,10.1.0,17+,Entertainment,37,5,1,1
867,429851711,0,35769,21,4.5,2,2.6,4+,Utilities,37,1,1,1,,
868,429870273,519446528,USD,9.99,540,48,4.5,5,1.0.19,12+,Games,43,0,2,1
869,429885089,139457536,USD,0,224,4,3.5,5,5.3.1,4+,Music,24,5,3,1
870,430152294,60313600,USD,0,11665,364,4,4.5,3.3.1,4+,Entertainment,24,5,13,1
871,430200224,35695616,USD,4.99,20951,935,4,4,6.2,17+,Utilities,26,5,10,1
872,430229059,1824768,USD,1.99,43,24,4.5,4.5,7.3,4+,Productivity,37,0,1,1
873,430234732,54476800,USD,16.99,125,3,4,4.5,5.7.6,4+,Productivity,37,5,1,1
874,430616332,29496320,USD,1.99,92,1,4.5,5,2.6.1,4+,Book,37,4,1,1
875,430823968,283656192,USD,16.99,857,14,4,4,1.6.4,9+,Games,24,5,8,1
876,430856616,4511744,USD,0.99,528,379,4,4,2.9,4+,Photo & Video,40,0,1,1
877,430920838,27049083,USD,2.99,626,435,4.5,4.5,1.2,4+,Games,47,5,1,1
878,431023686,0,1026,0,4.5,0,9.1.0,17+,Shopping,37,0,4,1,,
879,431033044,19738624,USD,1.99,1403,121,4.5,4.5,6.3.9,17+,Utilities,38,5,15,1
880,431065024,6228992,USD,0.99,117,7,1,1,3.1,4+,Social Networking,37,5,13,1
881,431229633,99463168,USD,0.99,193,1,3.5,4,2.3,4+,Games,37,5,1,1
882,431493086,7.99,896,0,4,0,3.46,4+,Education,37,5,17,1,,
883,431865275,4427776,USD,2.99,35,0,3,0,3.1.2,4+,Navigation,38,0,1,1
884,431946152,115178496,USD,0,183621,300,4.5,4.5,2.293.126451,12+,Games,37,5,1,1
885,432080204,192954368,USD,4.99,616,12,4.5,4,2.01,4+,Games,38,5,5,1
886,432274380,149436416,USD,0,397,0,3,0,3.52.1,17+,Social Networking,37,5,1,1
887,432278816,205664256,USD,47.99,0,0,0,0,2.4,9+,Reference,37,5,2,1
888,432455516,5999616,USD,0,0,0,0,0,3.9,17+,Sports,40,5,2,1
890,432504470,345904128,USD,2.99,4866,64,4.5,3,2.4.1,4+,Games,40,5,3,1
892,432749907,409732096,USD,2.99,20355,23,4.5,4.5,4.30.5,4+,Games,37,5,1,1
893,432771571,15350784,USD,1.99,6,0,3.5,0,4.1.0,4+,Reference,37,5,2,1
894,432791399,62913536,USD,3.99,1855,131,4.5,4.5,4.0.2,4+,Lifestyle,38,5,1,1
895,432849519,947195904,USD,4.99,9741,924,4.5,4,1.05.02,12+,Games,40,0,3,1
896,432850619,791146496,USD,13.99,818,9,3.5,2.5,3.1.50,4+,Music,37,5,1,1
897,433156786,30027776,USD,0,458,26,3.5,3,4.1.4.1,4+,Social Networking,26,5,2,1
898,433398108,36758528,USD,0.99,6374,66,4.5,5,9.7.2,4+,Photo & Video,37,5,21,1
899,433508740,114268160,USD,0,7569,31,3.5,3,7.3.8,4+,Finance,24,5,1,1
900,433592592,96872448,USD,0,76392,700,4.5,4.5,9,4+,Games,37,5,1,1
901,433596395,28983296,USD,0.99,274,24,3.5,3.5,1.0.7,4+,Games,43,4,3,1
903,433620759,610881536,USD,0,35058,7453,4.5,4.5,1.0.6,4+,Games,40,5,12,1
904,433622275,17530880,USD,0,78,0,4.5,0,8.6,12+,Games,37,0,2,1
905,433671262,58143744,USD,2.99,4748,391,5,5,6.7.5,4+,Photo & Video,37,5,1,1
906,433847884,183046144,USD,1.99,12162,57,4.5,4.5,3.9.1,4+,Games,40,5,1,1
907,434209233,86968320,USD,0,2333,0,4.5,0,7.0.0,4+,Weather,38,0,3,1
908,434374726,114121728,USD,0,150,0,4,0,4.1.0,17+,Shopping,24,4,1,1
909,434826169,64152576,USD,2.99,1006,17,4,4,1.2.3,4+,Education,40,5,1,1
910,434832826,79013888,USD,0,1839,174,4.5,4,5.5.0,12+,Travel,37,5,1,1
911,434893913,65608704,USD,0,2661,41,4,3.5,5.1.1,4+,Utilities,37,1,8,1
912,435138734,57694208,USD,0,8651,23,3.5,3.5,3.0.5,4+,Education,37,5,1,1
913,435476174,47030272,USD,4.99,460,72,4.5,3.5,1.1,4+,Education,40,5,1,1
914,435693872,7558144,USD,1.99,34,6,5,5,2.6,4+,Productivity,37,0,31,1
915,435728260,31744669,USD,0.99,32,7,3.5,3,1.3.1,4+,Education,26,3,1,1
916,435871950,35261440,USD,3.99,863,12,4.5,5,3.7.1,12+,Travel,37,3,11,1
917,435883126,21462305,USD,0.99,23,2,4,3.5,1.3.1,4+,Education,26,3,1,1
918,435913585,25382912,USD,1.99,2965,205,4.5,5,6.2,4+,Photo & Video,37,5,8,1
919,436114747,92432384,USD,0.99,3702,112,4.5,4.5,2.1.1,9+,Photo & Video,37,4,1,1
920,436134867,299294720,USD,2.99,5058,363,4.5,4.5,1.21,4+,Games,38,5,1,1
921,436180275,43553792,USD,4.99,0,0,0,0,9.2,12+,Education,38,5,5,1
922,436491861,105743360,USD,0,258624,2481,5,4.5,4.2.0,4+,Food & Drink,37,5,2,1
923,436555490,33743872,USD,2.99,8632,62,4.5,4,1.3.1,9+,Games,38,5,1,1
924,436577167,125991936,USD,14.99,1478,18,3,4.5,6.0.3,4+,Photo & Video,37,5,1,1
925,436672029,133053440,USD,0,10647,185,4,4.5,5.2.7,12+,Shopping,37,0,18,1
926,436957087,0,383,0,4.5,0,5.8.9,17+,News,38,0,1,1,,
927,437025413,67734528,USD,0,320,1,3.5,3,4.2.1,4+,Entertainment,37,5,1,1
928,437314677,13512704,USD,0,102,0,2,0,3.0.4,9+,Photo & Video,37,4,9,1
930,437818260,26569728,USD,0,8623,292,4.5,5,3.9.12,4+,Business,37,4,35,1
931,438314348,16048128,USD,0.99,14361,918,4.5,4.5,1.1.4,9+,Games,43,0,1,0
932,438426078,0,1670,4,4.5,4,6.4.16,12+,Entertainment,38,0,1,1,,
933,438475005,134786048,USD,4.99,1153,39,4,4,5.5.4,4+,Productivity,37,5,11,1
934,438865278,119247872,USD,0,1103,54,3.5,4.5,5.0.1,4+,Shopping,24,5,2,1
935,439176506,4849664,USD,0.99,11,5,4.5,5,2.6,4+,Business,43,0,2,1
937,439438619,141322240,USD,0,8683,98,4,4.5,2.17,4+,Photo & Video,37,3,34,1
938,439495358,0.99,44,21,4.5,4.5,1.2.1,17+,Games,43,0,2,1,,
940,439628153,225615872,USD,3.99,3523,181,4.5,4.5,3.1.1,4+,Entertainment,43,5,18,1
941,439638720,60549120,USD,0,527,1,4,1,7,4+,Utilities,37,0,1,1
942,439852091,84338688,USD,4.99,10368,1051,5,5,7.3,4+,Health & Fitness,37,5,31,1
943,439873467,235259904,USD,0,187666,1263,4.5,4.5,2.11.1,4+,Games,37,5,10,1
944,440045374,153074688,USD,0,503230,282,4.5,4.5,3.15.0,4+,Games,37,5,10,1
945,440141669,517828608,USD,4.99,4513,95,4,4.5,1.6.0,12+,Games,43,5,1,1
946,440488550,99442688,USD,4.99,125,6,3.5,2,7.0.8,4+,Utilities,37,5,2,1
947,440677948,46147584,USD,0,29,1,4.5,5,3.3.9,12+,Food & Drink,38,0,2,1
949,440948110,91466752,USD,0,668,4,4.5,5,4.99.6,17+,Photo & Video,38,0,11,1
950,441179131,31885312,USD,4.99,112,1,4.5,5,5.0.1,12+,Entertainment,37,5,19,1
951,441216572,0,944,0,4,0,8.0.2,4+,Utilities,37,0,2,1,,
952,441457218,102964224,USD,0,34585,34,4.5,4.5,2.8.24,12+,Photo & Video,37,5,10,1
953,441599491,49025024,USD,0.99,406,62,4.5,4.5,2.2,4+,Education,40,5,1,1
954,442012681,129096704,USD,0,60163,104,4,4.5,6.35.1,4+,Social Networking,24,5,32,1
955,442378070,86345728,USD,4.99,415,2,4,3,5.1.1,4+,Education,24,5,11,1
956,442522082,1978085376,USD,6.99,23766,582,4.5,4.5,1.5.0,17+,Games,43,5,12,1
957,442705759,69277696,USD,2.99,1595,28,4,3.5,1.1.5,4+,Education,40,5,18,1
958,442839435,135252992,USD,0,55950,248,4,3.5,4.8.0,12+,Entertainment,37,5,1,1
959,443321291,22264832,USD,1.99,644,45,5,4.5,3.3,12+,Reference,40,5,1,1
960,443324720,10928128,USD,2.99,0,0,0,0,1.0.23,4+,Education,37,5,1,1
962,443354861,161159168,USD,0,16729,2,4.5,4.5,8.5.6,12+,Photo & Video,37,0,12,1
963,443369807,72476672,USD,0,32499,438,4.5,4.5,3.7.5,4+,Productivity,37,5,11,1
964,443637419,79857664,USD,0,141224,1909,4.5,4.5,5.8.6,4+,Games,38,5,1,1
965,443646748,224675840,USD,2.99,10386,58,4.5,4,5.86,4+,Health & Fitness,37,0,31,1
966,443904275,212208640,USD,0,11437,11,3.5,3,7.5.0,4+,Social Networking,37,5,17,1
967,443926246,145368064,USD,0,30,0,5,0,7.9.6,4+,Travel,37,5,1,1
968,443932954,48484352,USD,0,4021,538,4.5,4.5,2.53,4+,Utilities,40,4,32,1
969,444062672,8093696,USD,1.99,43,27,3.5,3.5,2,4+,Weather,26,5,1,1
971,444553118,125770752,USD,9.99,1685,2,2.5,1.5,5.0.0,4+,Book,38,5,1,1
972,444553167,53805056,USD,0,8324,306,4,3,2.8.2,4+,Business,37,5,24,1
973,444745181,13282304,USD,0.99,796,0,5,0,4.6.0,4+,Lifestyle,37,3,5,1
974,444844790,209452032,USD,0.99,86127,179,4.5,4,7.1,9+,Games,40,5,2,1
975,444934666,218936320,USD,0,9109,17,3,1.5,7.0.1,12+,Social Networking,37,0,1,1
976,444947784,55250944,USD,0,20988,963,4,4.5,2.2.1,4+,Entertainment,24,5,13,1
977,445300213,880640,USD,3.99,0,0,0,0,3.0.1,4+,Finance,40,5,2,1
978,445338486,85049344,USD,0,1985,4,4.5,5,3.26.0,17+,Social Networking,37,5,15,1
979,445375097,224617472,USD,0,14844,0,4,0,6.3.3,17+,Entertainment,38,5,3,1
981,445573854,0,65,0,3,0,6.9.1,4+,Shopping,38,0,1,1,,
982,445791750,92713984,USD,0,13106,230,4.5,4.5,2.6.2,9+,Games,37,5,14,1
983,445850671,118128640,USD,0,44,0,4,0,6.1.3,4+,Finance,37,5,2,1
984,445996226,9162752,USD,3.99,425,11,4.5,4.5,5.3,4+,Productivity,37,5,4,1
988,446207961,1312071680,USD,24.99,1298,144,4.5,4.5,8.0.27,12+,Medical,38,5,7,1
989,446324234,0,403,5,3.5,4.5,5.52.001,17+,Games,43,5,1,1,,
990,446408493,36301672,USD,0.99,309,309,4,4,1.0.0,9+,Games,47,0,1,1
993,446760220,507508522,USD,13.99,5180,3723,4.5,4.5,1.2.0,9+,Games,45,0,1,1
995,447024088,0,0,0,0,0,4.11.1,4+,Navigation,37,0,1,1,,
996,447149103,123644928,USD,0.99,18259,77,4.5,4.5,1.1.4,12+,Games,43,5,1,1
997,447188370,203038720,USD,0,323905,576,2.5,3,10.9.2.0,12+,Photo & Video,37,0,22,1
998,447313708,0,51,1,4.5,5,9.1.4,17+,Travel,37,0,1,1,,
1000,447444215,55156736,USD,4.99,1294,113,4.5,4.5,2.3.5,4+,Business,37,5,9,1
1001,447574907,51680256,USD,0,5,0,3,0,4.0.3,4+,Entertainment,37,4,2,1
1002,447610616,214679552,USD,0.99,9302,401,4.5,4,2,9+,Games,43,5,9,1
1003,447689011,1344401408,USD,0.99,153588,595,4.5,4.5,1.3.4,12+,Games,40,5,16,1
1004,447752317,24059904,USD,0.99,3837,85,4.5,3.5,1.6.6,4+,Productivity,43,0,1,1
1005,447791438,34025472,USD,1.99,10509,712,4.5,4,1.7.2,4+,Games,43,5,1,1
1006,447983569,14741504,USD,2.99,4697,415,4.5,4.5,4.3,4+,Photo & Video,38,5,1,1
1007,448142450,84406272,USD,0,27791,5779,4.5,4.5,7.5,4+,Utilities,37,0,30,1
1008,448165862,0,1862,0,4,0,7.7.47,17+,Social Networking,37,0,1,1,,
1009,448474423,95468544,USD,2.99,3820,319,4.5,4.5,3.5.3,4+,Health & Fitness,37,0,1,1
1010,448639966,109210624,USD,0,123433,1521,5,5,7.12.17,12+,Photo & Video,37,5,12,1
1012,449735650,90853376,USD,1.99,131656,484,4.5,4,1.14.1.58,4+,Games,40,5,11,1
1013,449945214,140942336,USD,0,5748,106,2.5,2.5,2.1.19,4+,Travel,37,1,1,1
1014,450123799,162652160,USD,4.99,4922,1010,4.5,4.5,4,4+,Reference,24,5,9,1
1015,450542233,124532736,USD,0.99,63272,305,4.5,4.5,1.7.6,4+,Games,40,0,11,1
1016,450555662,32770048,USD,0,130,9,2.5,1.5,1.10.4,12+,Music,37,1,1,1
1017,450722833,40980480,USD,0,1933,20,4.5,4.5,5.0.1,12+,Entertainment,37,5,19,1
1018,450987651,4009984,USD,0,6,1,3,5,1.0.6,4+,Health & Fitness,37,0,2,1
1019,451113455,179580928,USD,0.99,3912,627,4.5,4.5,2.0.9,4+,Games,26,5,5,1
1020,451287325,235767808,USD,1.99,1092,1,4,5,1.43,4+,Games,38,5,1,1
1021,451584035,13180928,USD,2.99,2436,274,4.5,5,4.1,9+,News,37,2,1,1
1022,451901829,21263360,USD,1.99,14,1,4,5,1.08,4+,Entertainment,37,4,2,1
1023,452176796,0,558,0,5,0,9.4.1,17+,Shopping,37,0,4,1,,
1024,452186370,213586944,USD,0,1014,23,4,4.5,9.8.2,17+,Navigation,37,0,2,1
1025,452830319,25620480,USD,0.99,4510,627,4.5,4.5,3.2.4,4+,Photo & Video,40,0,1,1
1026,453051448,1820196864,USD,6.99,14724,1043,4.5,4.5,1.4.1,17+,Games,43,5,12,1
1027,453174055,0,85,0,3.5,0,3.1.5,4+,Travel,26,4,1,1,,
1028,453480684,141333504,USD,0,160,0,4.5,0,7.16,17+,Health & Fitness,37,0,3,1
1029,453546382,35683328,USD,3.99,4676,255,4,4,6.2,17+,Utilities,43,0,10,1
1030,453571750,75027456,USD,1.99,3196,95,5,5,5.0.0,4+,Reference,37,5,19,1
1031,453629018,22749184,USD,0.99,1,1,1,1,3.18,4+,Health & Fitness,43,5,4,1
1032,453670037,22928546,USD,1.99,0,0,0,0,1.2,4+,Entertainment,43,0,2,1
1033,453691481,148888576,USD,0,154,0,4,0,8.2.2,17+,Travel,37,0,1,1
1034,453718989,118249472,USD,0,5058,0,3.5,0,6.6.1,4+,Social Networking,24,5,1,1
1035,453809428,21647360,USD,0,750,17,3.5,2,4.6.7,4+,Food & Drink,24,5,1,1
1036,454021277,25740288,USD,1.99,7943,46,4.5,3,6.4.3,4+,Utilities,38,2,11,1
1037,454086751,27196416,USD,0.99,98851,478,4.5,4,1.7.2,4+,Games,38,0,1,1
1038,454136236,1551412224,USD,24.99,16,0,4,0,1.71,12+,Games,37,0,1,1
1039,454316134,197306368,USD,0,16358,1816,4,3.5,2.0.1,4+,Games,37,3,1,1
1041,454638411,275729408,USD,0,351466,892,3,3,119,4+,Social Networking,37,1,33,1
1042,454781476,175780864,USD,0.99,79683,597,4.5,4.5,1.6.1,12+,Games,40,3,1,1
1043,454802329,168557568,USD,5.99,4656,54,4.5,4.5,7.2,4+,Games,37,5,11,1
1044,454958810,117258240,USD,1.99,7289,19,4.5,4.5,2.1.0,4+,Games,37,5,1,1
1045,454988262,81083392,USD,0,23,0,3.5,0,7.2.1,12+,Entertainment,37,5,4,1
1047,455256615,31578112,USD,0,60,7,4,3.5,2.21,4+,Games,40,4,5,1
1048,455612214,0,24744,171,4.5,4,2.0.6,4+,Business,40,4,11,1,,
1049,455650341,968384512,USD,0.99,24880,13,4.5,4,1.37.1,9+,Games,38,5,8,1
1051,455826958,111875072,USD,0.99,3716,6,4,2.5,7.1.0,9+,Games,37,1,1,1
1053,456229650,20161086,USD,0,338,176,3.5,3.5,1.4,4+,Entertainment,26,5,1,1
1054,456355158,63676416,USD,0,28153,100,4,4,2.6.3,4+,Games,37,0,1,1
1055,456726080,21083136,USD,0,609,4,2.5,3,1.11,4+,Education,24,5,8,1
1057,457446957,108813312,USD,0,405647,877,4.5,4.5,1.9.24,9+,Games,38,5,3,1
1058,457517348,119500800,USD,0,32558,147,5,4.5,7.0.4,4+,Photo & Video,38,5,3,1
1059,457561360,103469056,USD,1.99,999,44,4.5,5,3.4,4+,Reference,37,5,15,1
1060,457687954,164236288,USD,2.99,8580,12,4.5,4.5,3.16.4,4+,Games,24,5,1,1
1062,457876088,141503488,USD,0,9725,109,5,5,3.4.1,4+,Shopping,37,5,6,1
1063,458225159,27500544,USD,1.99,15809,628,5,4.5,2.1,4+,Weather,38,5,1,1
1064,458272450,102413312,USD,0,11124,15,2.5,1,5.5.1,17+,Social Networking,37,0,1,1
1066,458318329,112337920,USD,0,613,9,4,4.5,5.6.2,17+,Entertainment,38,0,1,1
1067,458535809,2.99,1138,59,4.5,4.5,4.5,4+,Education,37,5,15,1,,
1068,458587755,109425664,USD,0,774,0,4.5,0,6.6,17+,Entertainment,38,0,1,1
1069,458813562,71766016,USD,2.99,358,59,3.5,4,1.71,4+,Games,40,5,1,1
1070,459023164,106416128,USD,0,68,0,4,0,6.0.2,17+,Shopping,24,5,1,1
1071,459035295,144414720,USD,0,14104,61,4.5,4.5,5.7,4+,Games,38,5,28,1
1072,459189186,258739200,USD,4.99,7919,73,4.5,4,2.1.1,12+,Games,37,5,14,1
